Email_ID,User_ID,Campaign_Name,Send_Date,Email_Subject,Device_Type,Open_Status,Click_Status,Bounce_Type,Unsubscribe,Spam_Report,Revenue
EID_0001,UID_099,Flash_Sale,1/1/2024 0:00,Final Hours!,Tablet,Opened,Not Clicked,None,0,0,2.87
EID_0002,UID_231,Spring_Sale,1/1/2024 1:00,Final Hours!,Desktop,Opened,Not Clicked,None,0,0,10.84
EID_0003,UID_018,Flash_Sale,1/1/2024 2:00,Don't Miss This Deal!,Tablet,Not Opened,Not Clicked,None,0,0,264.92
EID_0004,UID_084,Newsletter,1/1/2024 3:00,Check Out New Arrivals,Desktop,Opened,Clicked,None,0,0,33.35
EID_0005,UID_107,Spring_Sale,1/1/2024 4:00,Don't Miss This Deal!,Mobile,Opened,Not Clicked,None,0,0,231.05
EID_0006,UID_124,Flash_Sale,1/1/2024 5:00,Don't Miss This Deal!,Tablet,Opened,Not Clicked,None,1,0,27.45
EID_0007,UID_058,New_Arrival,1/1/2024 6:00,Check Out New Arrivals,Desktop,Opened,Not Clicked,None,0,0,170.8
EID_0008,UID_215,Newsletter,1/1/2024 7:00,Exclusive Offer Inside!,Desktop,Opened,Not Clicked,None,0,0,59.3
EID_0009,UID_226,New_Arrival,1/1/2024 8:00,Don't Miss This Deal!,Desktop,Opened,Not Clicked,None,0,0,285.47
EID_0010,UID_097,Holiday_Deals,1/1/2024 9:00,Check Out New Arrivals,Desktop,Opened,Clicked,None,0,1,292.43
EID_0011,UID_114,New_Arrival,1/1/2024 10:00,Don't Miss This Deal!,Mobile,Opened,Clicked,None,0,0,107.52
EID_0012,UID_127,Newsletter,1/1/2024 11:00,Don't Miss This Deal!,Desktop,Opened,Clicked,None,0,0,246.46
EID_0013,UID_048,Flash_Sale,1/1/2024 12:00,Weekly Newsletter,Mobile,Not Opened,Not Clicked,None,0,0,85.74
EID_0014,UID_074,Newsletter,1/1/2024 13:00,Weekly Newsletter,Desktop,Opened,Not Clicked,None,0,0,224.76
EID_0015,UID_033,Spring_Sale,1/1/2024 14:00,Don't Miss This Deal!,Mobile,Opened,Not Clicked,None,0,0,52.97
EID_0016,UID_225,Spring_Sale,1/1/2024 15:00,Weekly Newsletter,Mobile,Opened,Not Clicked,None,0,0,191.87
EID_0017,UID_112,Holiday_Deals,1/1/2024 16:00,Don't Miss This Deal!,Desktop,Opened,Not Clicked,None,0,0,286.79
EID_0018,UID_254,Holiday_Deals,1/1/2024 17:00,Check Out New Arrivals,Tablet,Opened,Not Clicked,None,0,0,54.86
EID_0019,UID_097,Newsletter,1/1/2024 18:00,Don't Miss This Deal!,Desktop,Opened,Not Clicked,None,0,0,49.29
EID_0020,UID_209,New_Arrival,1/1/2024 19:00,Don't Miss This Deal!,Desktop,Not Opened,Not Clicked,Hard Bounce,0,0,133.85
EID_0021,UID_069,New_Arrival,1/1/2024 20:00,Check Out New Arrivals,Desktop,Opened,Not Clicked,None,0,0,287.63
EID_0022,UID_003,New_Arrival,1/1/2024 21:00,Exclusive Offer Inside!,Desktop,Opened,Not Clicked,None,1,0,133.49
EID_0023,UID_040,New_Arrival,1/1/2024 22:00,Don't Miss This Deal!,Desktop,Not Opened,Not Clicked,None,0,0,62.89
EID_0024,UID_085,Flash_Sale,1/1/2024 23:00,Don't Miss This Deal!,Tablet,Not Opened,Not Clicked,None,0,0,8.52
EID_0025,UID_048,Holiday_Deals,1/2/2024 0:00,Final Hours!,Tablet,Opened,Not Clicked,None,0,0,108.99
EID_0026,UID_177,New_Arrival,1/2/2024 1:00,Check Out New Arrivals,Tablet,Not Opened,Not Clicked,None,0,0,220.88
EID_0027,UID_136,Spring_Sale,1/2/2024 2:00,Exclusive Offer Inside!,Desktop,Not Opened,Not Clicked,None,1,0,86.22
EID_0028,UID_100,Spring_Sale,1/2/2024 3:00,Don't Miss This Deal!,Mobile,Opened,Not Clicked,None,1,0,134.98
EID_0029,UID_181,Newsletter,1/2/2024 4:00,Don't Miss This Deal!,Tablet,Opened,Clicked,None,0,0,55.63
EID_0030,UID_214,Newsletter,1/2/2024 5:00,Check Out New Arrivals,Tablet,Not Opened,Not Clicked,None,0,0,211.65
