Session_ID,User_ID,Date,Page_URL,Device_Type,Browser,Operating_System,Traffic_Source,Country,City,Session_Duration_Seconds,Pages_Viewed,Conversions,Bounce,Revenue
SID_0001,UID_103,1/1/2024 0:00,/contact,Desktop,Chrome,macOS,Direct,Canada,Toronto,227,4,0,0,270.75
SID_0002,UID_180,1/1/2024 1:00,/checkout,Mobile,Chrome,Android,Social,UK,Toronto,840,6,0,0,421.71
SID_0003,UID_093,1/1/2024 2:00,/product,Tablet,Edge,Android,Direct,USA,Berlin,217,8,0,0,380.87
SID_0004,UID_015,1/1/2024 3:00,/product,Desktop,Chrome,Linux,Direct,India,Delhi,727,9,0,1,29.15
SID_0005,UID_107,1/1/2024 4:00,/cart,Tablet,Safari,Android,Referral,USA,Toronto,846,5,0,1,499.21
SID_0006,UID_072,1/1/2024 5:00,/cart,Desktop,Chrome,Android,Social,Germany,Berlin,839,6,0,1,376.2
SID_0007,UID_189,1/1/2024 6:00,/contact,Mobile,Safari,Windows,Direct,UK,Delhi,745,4,0,0,431.95
SID_0008,UID_021,1/1/2024 7:00,/contact,Desktop,Firefox,iOS,Paid Search,USA,Berlin,513,5,0,0,325.6
SID_0009,UID_103,1/1/2024 8:00,/home,Desktop,Firefox,Linux,Organic Search,Canada,Berlin,479,7,1,0,428.14
SID_0010,UID_122,1/1/2024 9:00,/home,Tablet,Firefox,Windows,Referral,UK,Toronto,552,9,0,1,56.19
SID_0011,UID_075,1/1/2024 10:00,/contact,Tablet,Firefox,iOS,Direct,Canada,Delhi,383,6,0,0,173.87
SID_0012,UID_088,1/1/2024 11:00,/contact,Mobile,Chrome,Windows,Paid Search,USA,Toronto,687,6,0,1,438.21
SID_0013,UID_117,1/1/2024 12:00,/checkout,Desktop,Edge,Windows,Direct,UK,New York,626,8,0,0,100.83
SID_0014,UID_100,1/1/2024 13:00,/cart,Desktop,Chrome,Android,Direct,Canada,New York,129,4,0,0,39.12
SID_0015,UID_104,1/1/2024 14:00,/home,Desktop,Safari,iOS,Social,Germany,Delhi,645,3,0,0,394.06
SID_0016,UID_152,1/1/2024 15:00,/cart,Mobile,Chrome,Linux,Social,Germany,Berlin,587,7,1,0,417.74
SID_0017,UID_131,1/1/2024 16:00,/cart,Mobile,Chrome,Linux,Social,USA,Toronto,585,5,1,0,81.33
SID_0018,UID_150,1/1/2024 17:00,/contact,Mobile,Safari,iOS,Paid Search,UK,Toronto,307,2,0,0,427.17
SID_0019,UID_053,1/1/2024 18:00,/checkout,Mobile,Firefox,Android,Direct,India,Delhi,722,2,0,0,343.38
SID_0020,UID_002,1/1/2024 19:00,/product,Mobile,Firefox,macOS,Organic Search,UK,Delhi,728,6,0,1,260.04
SID_0021,UID_088,1/1/2024 20:00,/checkout,Tablet,Firefox,Windows,Referral,Germany,New York,655,8,0,0,415.13
SID_0022,UID_158,1/1/2024 21:00,/checkout,Desktop,Edge,Android,Social,Canada,London,520,1,0,0,209.62
SID_0023,UID_038,1/1/2024 22:00,/cart,Desktop,Safari,iOS,Social,India,Delhi,284,6,0,0,97
SID_0024,UID_130,1/1/2024 23:00,/checkout,Desktop,Safari,Windows,Direct,USA,London,410,2,0,0,142.43
SID_0025,UID_192,1/2/2024 0:00,/home,Desktop,Chrome,Linux,Direct,India,Delhi,571,2,0,1,252.58
SID_0026,UID_188,1/2/2024 1:00,/cart,Desktop,Edge,macOS,Paid Search,USA,Berlin,293,7,0,0,265.67
SID_0027,UID_021,1/2/2024 2:00,/home,Desktop,Firefox,Linux,Paid Search,India,Berlin,639,1,0,1,402.79
SID_0028,UID_161,1/2/2024 3:00,/product,Desktop,Edge,iOS,Social,USA,New York,854,6,0,0,395.68
SID_0029,UID_058,1/2/2024 4:00,/cart,Desktop,Safari,Windows,Direct,USA,New York,358,7,1,0,290.68
SID_0030,UID_022,1/2/2024 5:00,/product,Tablet,Safari,iOS,Organic Search,India,London,144,8,0,0,390.39
SID_0031,UID_089,1/2/2024 6:00,/cart,Desktop,Chrome,Windows,Referral,India,Delhi,305,7,0,0,95.89
SID_0032,UID_049,1/2/2024 7:00,/contact,Tablet,Chrome,Android,Direct,USA,Toronto,517,6,0,0,25.03
SID_0033,UID_059,1/2/2024 8:00,/checkout,Mobile,Safari,macOS,Direct,Germany,New York,310,9,0,1,436.82
SID_0034,UID_170,1/2/2024 9:00,/contact,Desktop,Firefox,Android,Paid Search,India,Toronto,304,3,0,0,37.78
SID_0035,UID_188,1/2/2024 10:00,/product,Mobile,Firefox,Android,Referral,UK,Toronto,802,6,0,0,123.34
SID_0036,UID_015,1/2/2024 11:00,/checkout,Mobile,Edge,iOS,Social,Canada,Delhi,872,4,0,0,347.66
SID_0037,UID_190,1/2/2024 12:00,/cart,Mobile,Safari,macOS,Direct,USA,London,748,2,0,0,204.72
SID_0038,UID_190,1/2/2024 13:00,/checkout,Tablet,Safari,Windows,Social,USA,Delhi,357,1,0,0,438.16
SID_0039,UID_175,1/2/2024 14:00,/home,Mobile,Firefox,Windows,Direct,Canada,New York,240,1,0,0,148.99
SID_0040,UID_190,1/2/2024 15:00,/checkout,Mobile,Firefox,Linux,Social,Germany,Toronto,756,3,0,0,5.94
SID_0041,UID_051,1/2/2024 16:00,/home,Mobile,Safari,Windows,Referral,Canada,Delhi,581,4,0,0,150.33
SID_0042,UID_108,1/2/2024 17:00,/checkout,Desktop,Chrome,iOS,Paid Search,India,Delhi,55,2,1,0,289.04
SID_0043,UID_055,1/2/2024 18:00,/home,Desktop,Safari,Android,Referral,Canada,Delhi,56,1,0,1,187.97
SID_0044,UID_064,1/2/2024 19:00,/product,Tablet,Safari,Android,Organic Search,USA,New York,731,4,0,0,267.44
SID_0045,UID_131,1/2/2024 20:00,/contact,Tablet,Firefox,Android,Paid Search,Canada,London,112,7,0,0,438.3
SID_0046,UID_051,1/2/2024 21:00,/cart,Desktop,Firefox,macOS,Referral,UK,Delhi,711,6,0,1,456.24
SID_0047,UID_135,1/2/2024 22:00,/checkout,Tablet,Chrome,Windows,Organic Search,India,New York,442,6,1,0,132.99
SID_0048,UID_021,1/2/2024 23:00,/contact,Desktop,Chrome,iOS,Direct,Canada,Toronto,196,9,0,0,231.07
SID_0049,UID_073,1/3/2024 0:00,/cart,Mobile,Edge,macOS,Direct,USA,Berlin,729,2,0,0,274.57
SID_0050,UID_167,1/3/2024 1:00,/cart,Mobile,Safari,Linux,Social,India,New York,198,4,0,0,474.56
SID_0051,UID_018,1/3/2024 2:00,/home,Tablet,Firefox,iOS,Paid Search,USA,Berlin,830,5,0,0,499.31
SID_0052,UID_132,1/3/2024 3:00,/product,Desktop,Chrome,iOS,Direct,Germany,Delhi,258,1,0,1,117.7
SID_0053,UID_089,1/3/2024 4:00,/product,Desktop,Edge,iOS,Paid Search,UK,Delhi,638,8,0,1,363.49
SID_0054,UID_060,1/3/2024 5:00,/contact,Tablet,Edge,Android,Direct,Germany,New York,396,8,0,1,189.02
SID_0055,UID_014,1/3/2024 6:00,/product,Desktop,Firefox,iOS,Social,UK,Berlin,557,6,0,1,4.05
SID_0056,UID_009,1/3/2024 7:00,/checkout,Mobile,Firefox,Windows,Referral,Canada,Delhi,820,5,0,0,4.63
SID_0057,UID_090,1/3/2024 8:00,/product,Tablet,Edge,iOS,Social,India,Toronto,676,8,0,0,230.28
SID_0058,UID_053,1/3/2024 9:00,/contact,Tablet,Chrome,Android,Organic Search,Canada,London,567,3,0,1,244.17
SID_0059,UID_130,1/3/2024 10:00,/product,Desktop,Edge,iOS,Direct,UK,London,893,3,0,1,11.28
SID_0060,UID_084,1/3/2024 11:00,/checkout,Tablet,Safari,Linux,Organic Search,UK,Delhi,553,2,0,0,343.46
SID_0061,UID_092,1/3/2024 12:00,/home,Desktop,Safari,Linux,Organic Search,UK,Berlin,101,5,0,1,147
SID_0062,UID_111,1/3/2024 13:00,/contact,Desktop,Firefox,Android,Paid Search,USA,Delhi,674,3,0,0,279.95
SID_0063,UID_188,1/3/2024 14:00,/home,Desktop,Chrome,Windows,Direct,India,Berlin,135,3,0,0,150.46
SID_0064,UID_199,1/3/2024 15:00,/home,Desktop,Chrome,Windows,Organic Search,Canada,Toronto,761,6,0,0,83.57
SID_0065,UID_172,1/3/2024 16:00,/home,Desktop,Safari,macOS,Referral,Canada,Berlin,718,8,0,0,203.59
SID_0066,UID_008,1/3/2024 17:00,/cart,Tablet,Edge,Android,Organic Search,Germany,Delhi,311,2,0,0,116.14
SID_0067,UID_175,1/3/2024 18:00,/cart,Mobile,Firefox,iOS,Referral,UK,Toronto,162,4,1,0,267.4
